1	0.008	0.008	0.008	0.007	0.007	0.007	0.007	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.007	0.008	0.008	0.007	0.008	0.008	0.008	0.008	0.008	0.007	0.007	0.008	0.008
2	0.029	0.03	0.028	0.029	0.028	0.029	0.03	0.027	0.024	0.026	0.025	0.025	0.026	0.025	0.029	0.028	0.029	0.029	0.029	0.029	0.026	0.025	0.024	0.026	0.025	0.025	0.024	0.026	0.018	0.018	0.018
3	0.063	0.102	0.064	0.064	0.064	0.064	0.064	0.063	0.064	0.063	0.063	0.063	0.064	0.064	0.063	0.063	0.063	0.063	0.063	0.063	0.064	0.064	0.064	0.064	0.063	0.064	0.064	0.063	0.064	0.064	0.064
4	0.195	0.248	0.289	0.289	0.303	0.295	0.326	0.308	0.31	0.301	0.23	0.255	0.286	0.249	0.261	0.228	0.245	0.237	0.244	0.256	0.237	0.228	0.234	0.217	0.229	0.232	0.239	0.239	0.238	0.223	0.228
5	0.458	0.477	0.462	0.443	0.456	0.476	0.531	0.444	0.445	0.447	0.475	0.445	0.442	0.442	0.442	0.457	0.44	0.442	0.462	0.54	0.452	0.583	0.605	0.629	0.679	0.484	0.443	0.442	0.442	0.44	0.447
6	1.448	1.187	1.127	1.175	1.14	1.135	1.098	1.194	1.335	1.387	1.149	1.163	1.142	1.309	1.113	1.155	1.324	1.127	1.127	1.145	1.449	1.269	1.123	1.248	1.256	1.119	1.189	1.105	1.111	1.233	1.167
7	2.979	3.611	3.47	3.523	2.904	2.907	2.844	3.409	3.373	3.409	3.514	3.793	3.613	3.916	3.979	3.751	3.627	3.729	3.477	2.964	2.835	2.821	3.679	3.945	3.946	3.574	3.378	3.16	3.07	3	2.793
8	7.094	6.305	6.757	6.466	6.243	6.349	6.31	6.292	6.378	6.429	6.373	6.219	6.203	6.424	6.371	6.357	6.398	7.29	8.173	6.377	6.371	6.38	6.395	6.598	6.214	6.438	6.317	6.258	6.296	6.173	6.908
9	13.891	13.942	14.393	14.476	14.293	14.349	13.669	13.897	14.863	14.327	13.968	14.06	13.822	13.783	13.812	14.017	14.354	14.764	13.717	13.829	13.787	14.07	13.802	14.296	14.736	13.687	14.187	13.934	14.848	13.905	13.563
10	29.5	30.496	32.044	30.492	29.88	30.42	29.567	29.698	29.87	29.939	29.757	30.646	30.065	29.633	29.886	29.831	29.95	29.845	29.722	29.883	29.653	29.722	30.011	29.468	29.345	29.706	29.823	29.95	29.818	30.121	30.029
11	64.009	64.101	63.966	64	64.003	64.13	63.797	64.572	64.485	64.153	64.049	64.094	64.23	64.272	64.086	64.062	63.919	63.986	63.922	64.075	64.049	64.647	63.896	64.425	64.178	64.116	64.274	64.956	64.456	64.104	63.949
12	136.02	135.938	136.062	136.099	136.163	136.579	135.872	135.811	135.684	137.156	137.437	137.159	136.844	137.388	137.903	136.368	137.231	137.281	136.017	137.666	136.325	136.996	135.918	136.423	135.853	135.921	136.008	135.969	135.883	136.139	135.866
