1	0.009	0.008	0.007	0.006	0.006	0.007	0.007	0.006	0.006	0.006	0.007	0.007	0.006	0.006	0.007	0.006	0.006	0.007	0.007	0.007	0.007	0.007	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007
2	0.023	0.024	0.025	0.027	0.023	0.023	0.024	0.023	0.026	0.024	0.021	0.019	0.022	0.021	0.021	0.021	0.022	0.029	0.023	0.023	0.023	0.024	0.022	0.023	0.023	0.023	0.025	0.019	0.019	0.02	0.019
3	0.056	0.053	0.054	0.059	0.07	0.068	0.069	0.071	0.07	0.071	0.067	0.054	0.054	0.054	0.053	0.055	0.07	0.072	0.072	0.073	0.074	0.069	0.068	0.065	0.069	0.072	0.072	0.071	0.074	0.075	0.071
4	0.195	0.201	0.197	0.2	0.201	0.214	0.208	0.167	0.165	0.187	0.197	0.169	0.195	0.223	0.207	0.206	0.205	0.209	0.198	0.208	0.205	0.206	0.207	0.205	0.215	0.213	0.21	0.214	0.212	0.209	0.213
5	0.416	0.425	0.418	0.416	0.416	0.416	0.417	0.417	0.441	0.496	0.521	0.487	0.455	0.524	0.499	0.568	0.533	0.518	0.416	0.414	0.416	0.413	0.413	0.414	0.441	0.414	0.415	0.414	0.46	0.54	0.521
6	1.503	1.659	1.49	1.599	1.586	1.576	1.507	1.501	1.515	1.484	1.487	1.395	1.369	1.376	1.429	1.367	1.419	1.506	1.349	1.476	1.301	1.277	1.275	1.293	1.369	1.281	1.346	1.498	1.255	1.241	1.176
7	3.278	3.861	3.443	3.254	3.269	3.45	3.263	3.881	3.679	3.561	4.01	3.916	4.453	4.146	5.621	3.887	3.99	3.622	4.532	3.99	3.393	3.299	3.374	3.35	3.412	3.316	3.279	3.388	3.4	3.436	3.515
8	8.235	8.989	8.163	9.048	8.118	8.863	10.407	8.375	8.342	8.011	8.078	8.163	8.199	9.111	8.732	8.138	8.617	8.151	8.647	8.173	8.55	8.266	8.565	8.094	8.757	8.323	8.569	8.167	8.374	8.132	8.18
9	22.664	22.642	22.139	22.26	22.192	22.461	22.311	22.232	22.311	23.254	22.893	22.886	22.187	22.121	22.629	22.649	22.262	24.926	23.747	22.7	22.218	22.476	23.179	22.388	22.276	22.35	22.408	22.469	22.567	22.134	22.184
10	49.989	49.977	50.04	51.205	49.947	50.28	49.707	51.588	50.458	50.698	52.402	51.323	50.415	50.31	50.018	51.004	50.326	50.354	50.212	51.811	50.311	50.588	50.573	50.551	50.385	50.32	50.02	50.609	50.476	50.93	50.424
